Train-Test Split,K,Accuracy,Confusion Matrix
0.1,2,0.9633333333333334,"[[407   0   0   0   0   0   1   0   0   0]
 [  0 471   0   0   0   0   0   0   0   0]
 [  4   6 405   0   1   0   1   3   0   0]
 [  0   2   5 491   0   2   0   3   1   2]
 [  0   1   0   0 391   0   1   0   0   4]
 [  0   0   0   9   0 328   1   0   1   0]
 [  7   0   0   0   0   3 392   0   0   0]
 [  0  10   2   0   2   0   0 422   0   2]
 [  2   7  10  12   2  12   3   2 350   3]
 [  3   1   0   7   5   0   0  10   1 389]]"
0.1,4,0.9652380952380952,"[[408   0   0   0   0   0   0   0   0   0]
 [  0 470   0   0   0   0   1   0   0   0]
 [  3   7 403   1   1   0   0   5   0   0]
 [  1   3   3 486   0   4   0   4   3   2]
 [  0   1   0   0 388   0   1   0   0   7]
 [  0   0   0   6   0 327   4   0   1   1]
 [  6   0   0   0   0   2 394   0   0   0]
 [  0  14   2   0   0   0   0 419   0   3]
 [  1   6   4   7   1  11   3   1 365   4]
 [  1   1   1   6   5   0   0   8   0 394]]"
0.1,5,0.9654761904761905,"[[408   0   0   0   0   0   0   0   0   0]
 [  0 469   0   0   0   0   2   0   0   0]
 [  3   6 402   0   2   0   0   7   0   0]
 [  1   2   4 485   0   5   0   3   3   3]
 [  0   1   0   0 383   0   2   0   0  11]
 [  0   0   0   6   0 325   5   0   1   2]
 [  4   0   0   0   0   2 396   0   0   0]
 [  0  14   1   0   1   0   0 416   0   6]
 [  1   6   1   7   2   7   3   1 372   3]
 [  1   1   1   6   2   0   0   6   0 399]]"
0.1,6,0.9661904761904762,"[[408   0   0   0   0   0   0   0   0   0]
 [  0 469   0   0   0   0   2   0   0   0]
 [  3   6 403   0   1   0   0   7   0   0]
 [  1   2   4 487   0   4   0   3   3   2]
 [  0   1   0   0 388   0   2   0   0   6]
 [  0   0   0   7   0 327   3   0   1   1]
 [  5   1   0   0   0   2 394   0   0   0]
 [  0  14   1   0   0   0   0 418   0   5]
 [  1   7   1   6   2  11   3   1 368   3]
 [  2   1   1   6   3   0   0   7   0 396]]"
0.1,7,0.9647619047619047,"[[408   0   0   0   0   0   0   0   0   0]
 [  0 469   0   0   0   0   2   0   0   0]
 [  3   7 398   1   1   0   0   9   1   0]
 [  1   2   3 487   0   4   0   3   3   3]
 [  0   1   0   0 380   0   2   0   0  14]
 [  0   0   0   5   0 326   6   0   1   1]
 [  3   0   0   0   0   2 397   0   0   0]
 [  0  14   1   0   0   0   0 417   0   6]
 [  1   7   2   6   2   8   3   1 370   3]
 [  2   1   1   5   1   0   0   6   0 400]]"
0.1,10,0.960952380952381,"[[406   0   0   0   0   0   2   0   0   0]
 [  0 469   0   0   0   0   2   0   0   0]
 [  3   9 396   0   2   0   0   9   1   0]
 [  1   3   3 485   1   4   0   4   2   3]
 [  0   1   0   0 383   0   2   1   0  10]
 [  1   0   0   7   0 326   4   0   0   1]
 [  5   0   0   0   0   2 394   0   1   0]
 [  0  15   1   0   0   0   0 419   0   3]
 [  1   7   1  10   5   8   4   1 363   3]
 [  2   2   1   5   2   0   0   8   1 395]]"
0.05,2,0.9676190476190476,"[[215   0   0   0   0   0   1   0   0   0]
 [  0 234   0   0   0   0   0   0   0   0]
 [  1   6 212   0   1   0   1   1   0   0]
 [  0   1   1 255   0   0   0   2   0   1]
 [  0   1   0   0 192   0   0   0   0   3]
 [  0   0   0   3   0 156   0   0   1   0]
 [  3   0   0   0   0   1 195   0   0   0]
 [  0   5   0   0   2   0   0 221   0   2]
 [  1   3   6   5   1   6   1   0 168   0]
 [  1   0   0   2   2   0   0   3   0 184]]"
0.05,4,0.9671428571428572,"[[216   0   0   0   0   0   0   0   0   0]
 [  0 234   0   0   0   0   0   0   0   0]
 [  1   7 210   0   1   0   0   3   0   0]
 [  0   1   1 254   0   0   0   2   1   1]
 [  0   1   0   0 192   0   0   0   0   3]
 [  0   0   0   3   0 154   1   0   1   1]
 [  4   0   0   0   0   0 195   0   0   0]
 [  0   8   0   0   0   0   0 219   0   3]
 [  1   3   4   3   0   6   1   0 173   0]
 [  0   0   1   2   2   0   0   3   0 184]]"
0.05,5,0.9671428571428572,"[[216   0   0   0   0   0   0   0   0   0]
 [  0 234   0   0   0   0   0   0   0   0]
 [  1   6 210   0   2   0   0   3   0   0]
 [  0   1   1 253   0   0   0   2   1   2]
 [  0   1   0   0 190   0   0   0   0   5]
 [  0   0   0   3   0 153   1   0   1   2]
 [  3   0   0   0   0   1 195   0   0   0]
 [  0   7   0   0   1   0   0 218   0   4]
 [  1   3   1   2   1   5   1   0 177   0]
 [  0   0   1   3   1   0   0   2   0 185]]"
0.05,6,0.9685714285714285,"[[216   0   0   0   0   0   0   0   0   0]
 [  0 234   0   0   0   0   0   0   0   0]
 [  1   6 211   0   1   0   0   3   0   0]
 [  0   1   1 254   0   0   0   2   1   1]
 [  0   1   0   0 191   0   0   0   0   4]
 [  0   0   0   3   0 154   1   0   1   1]
 [  3   1   0   0   0   1 194   0   0   0]
 [  0   8   0   0   0   0   0 219   0   3]
 [  1   3   1   3   1   5   1   0 176   0]
 [  1   0   1   2   1   0   0   2   0 185]]"
0.05,7,0.9671428571428572,"[[216   0   0   0   0   0   0   0   0   0]
 [  0 234   0   0   0   0   0   0   0   0]
 [  1   6 209   0   1   0   0   4   1   0]
 [  0   1   1 253   0   0   0   2   1   2]
 [  0   1   0   0 190   0   0   0   0   5]
 [  0   0   0   2   0 155   1   0   1   1]
 [  2   0   0   0   0   1 196   0   0   0]
 [  0   8   0   0   0   0   0 219   0   3]
 [  1   3   2   3   1   6   1   0 174   0]
 [  1   0   1   2   1   0   0   2   0 185]]"
0.05,10,0.9642857142857143,"[[214   0   0   0   0   0   2   0   0   0]
 [  0 234   0   0   0   0   0   0   0   0]
 [  1   7 209   0   1   0   0   3   1   0]
 [  0   1   1 253   0   0   0   2   1   2]
 [  0   1   0   0 190   0   0   0   0   5]
 [  0   0   0   4   0 153   1   0   0   2]
 [  3   0   0   0   0   2 194   0   0   0]
 [  0   8   0   0   0   0   0 220   0   2]
 [  1   4   0   3   1   6   1   0 175   0]
 [  1   1   1   2   1   0   0   3   0 183]]"
